filename,size,size_gb
chunk_0-00456-of-00546.parquet,140837777,0.131
chunk_0-00457-of-00546.parquet,130475148,0.122
chunk_0-00458-of-00546.parquet,135634948,0.126
chunk_0-00459-of-00546.parquet,126816892,0.118
chunk_0-00460-of-00546.parquet,118935075,0.111
chunk_0-00461-of-00546.parquet,119159705,0.111
chunk_0-00462-of-00546.parquet,130019301,0.121
chunk_0-00463-of-00546.parquet,127783284,0.119
chunk_0-00464-of-00546.parquet,134930120,0.126
chunk_0-00465-of-00546.parquet,126846373,0.118
chunk_0-00466-of-00546.parquet,157069275,0.146
chunk_0-00467-of-00546.parquet,135112426,0.126
chunk_0-00468-of-00546.parquet,161108779,0.15
chunk_0-00469-of-00546.parquet,131365948,0.122
chunk_0-00470-of-00546.parquet,141184961,0.131
chunk_0-00471-of-00546.parquet,114606659,0.107
chunk_0-00472-of-00546.parquet,123803093,0.115
chunk_0-00473-of-00546.parquet,114660708,0.107
chunk_0-00474-of-00546.parquet,128195106,0.119
chunk_0-00475-of-00546.parquet,126345392,0.118
chunk_0-00476-of-00546.parquet,132838941,0.124
chunk_0-00477-of-00546.parquet,151348849,0.141
chunk_0-00478-of-00546.parquet,142801009,0.133
chunk_0-00479-of-00546.parquet,165235963,0.154
chunk_0-00480-of-00546.parquet,162136107,0.151
chunk_0-00481-of-00546.parquet,157173223,0.146
chunk_0-00482-of-00546.parquet,161926008,0.151
chunk_0-00483-of-00546.parquet,140351896,0.131
chunk_0-00484-of-00546.parquet,133715616,0.125
chunk_0-00485-of-00546.parquet,117988387,0.11
chunk_0-00486-of-00546.parquet,108854357,0.101
chunk_0-00487-of-00546.parquet,77775140,0.072
chunk_0-00488-of-00546.parquet,67112392,0.063
chunk_0-00489-of-00546.parquet,66925551,0.062
chunk_0-00490-of-00546.parquet,64507867,0.06
chunk_0-00491-of-00546.parquet,57710395,0.054
chunk_0-00492-of-00546.parquet,55877432,0.052
chunk_0-00493-of-00546.parquet,67228571,0.063
chunk_0-00494-of-00546.parquet,64379846,0.06
chunk_0-00495-of-00546.parquet,79994518,0.075
chunk_0-00496-of-00546.parquet,57426832,0.053
chunk_0-00497-of-00546.parquet,73071969,0.068
chunk_0-00498-of-00546.parquet,57203627,0.053
chunk_0-00499-of-00546.parquet,69839412,0.065
chunk_0-00500-of-00546.parquet,65397908,0.061
chunk_0-00501-of-00546.parquet,68376661,0.064
chunk_0-00502-of-00546.parquet,59513404,0.055
chunk_0-00503-of-00546.parquet,54951927,0.051
chunk_0-00504-of-00546.parquet,48644619,0.045
chunk_0-00505-of-00546.parquet,54022443,0.05
